name,id,position,department,scale_point,account,password,access,join_date,age
Emily Davis,1,FULL_PROFESSOR(FORMERLY PROFESSOR),ACADEMIC,2,301,1001,3,"2013-12-14",23
Michael Johnson,2,PROFESSOR(FORMERLY_ASSOCIATE_PROFESSOR),ACADEMIC,4,302,1002,3,"2016-11-12",44
Jane Smith,3,PRESIDENT,MANAGEMENT_LEVEL,,303,1003,1,"2003-02-21",67
John Doe,4,VICE_PRESIDENT,MANAGEMENT_LEVEL,,304,1004,1,"2009-09-17",75
Morgan Avery Taylor,5,ADMINISTRATOR,ADMINISTRATIVE,5,305,1005,2,"2011-11-11",52
Amelia Sophia Perez,6,SENIOR_EXECUTIVE_ADMINISTRATOR,ADMINISTRATIVE,11,306,1006,2,"2021-09-12",60
Daniel Robert Harris,7,SENIOR_ADMINISTRATIVE_OFFICER_I,ADMINISTRATIVE,7,307,1007,2,"2013-05-05",34
Ethan Michael Davis,8,EPS_PORTFOLIO_MANAGER,EDUCATION_PROCUREMENT_SERVICES,2,308,1008,3,"2009-01-23",40
Benjamin Thomas Miller,9,EPS_CATEGORY_SPECIALIST,EDUCATION_PROCUREMENT_SERVICES,4,309,1009,3,"2010-11-11",28
Jordan Alex Kim,10,SUB_LIBRARIAN,LIBRARY,12,310,1010,3,"2019-12-14",29
Riley Quinn Harris,11,SENIOR_LIBRARY_ASSISTANT,LIBRARY,6,311,1011,3,"2001-06-12",34
Morgan Avery Taylor,12,LIBRARY_ATTENDANT,LIBRARY,3,312,1012,3,"2005-01-12",31
Quinn Morgan Carter,13,ANALYST_PROGRAMMER_2,INFORMATION_TECHNOLOGY,2,313,1013,3,"2018-12-12",42
Dakota Riley Mitchell,14,PRINT_OPERATOR_2,INFORMATION_TECHNOLOGY,7,314,1014,3,"2019-01-01",25
Lucas Matthew Clark,15,TECHNICAL_OFFICER,TECHNICAL,10,315,1015,3,"2023-12-14",37
Daniel Robert Harris,16,LABORATORY_ATTENDANT,TECHNICAL,8,316,1016,3,"2013-12-14",39
Ethan Mitchell,17,SERVICE_STAFF,SERVICE_STAFF,3,317,1017,3,"2013-07-22",50
Daniel Cooper,18,SENIOR_AIDE,SERVICE_STAFF,2,318,1018,3,"2022-01-22",55
Olivia Bennett,19,GROUNDS_FOREPERSON,SERVICE_STAFF,6,319,1019,3,"2004-04-14",43
James Sullivan,20,UNIVERSITY_TEACHER,TEACHERS,3,320,1020,3,"2015-03-18",47
Michael Thompson,21,ASSOCIATE_TEACHER,TEACHERS,10,321,1021,3,"2010-06-06",29
Jordan Taylor,22,THERAPIES_REGIONAL_SUPERVISOR,CLINICAL,5,322,1022,3,"2014-07-10",32
Riley Morgan,23,CLINICAL_FELLOW,CLINICAL,5,323,1023,3,"2016-05-14",31
Avery Blake,24,CO-OP_STUDENTS,ULAC,1,1001,1001,4,"2024-04-11",22
Casey Lee,25,CO-OP_STUDENTS,ULAC,2,1002,1002,4,"2023-12-14",25
Cameron Drew,26,ASSISTANT_INSTRUCTOR,ULAC,1,324,1024,3,"2007-02-13",39
Dakota Quinn,27,ASSISTANT_INSTRUCTOR,ULAC,2,325,1025,3,"2018-08-21",41
Skyler Reese,28,MULTI_ACTIVITY_INSTRUCTOR_(GRADE_1),ULAC,1,326,1026,2,"2022-11-14",61
Rowan Brooks,29,ASSISTANT_SENIOR_INSTRUCTOR,ULAC,1,327,1027,3,"2019-06-23",58
Emerson Carter,30,LEAD_INSTRUCTOR,ULAC,1,328,1028,3,"2004-11-22",55
